name,url,filepath,depth
CECliffHayesJr,https://cliffhayes.com/mt-content/uploads/2019/05/j00a1764.jpg,html/House/CECliffHayesJr/cliffhayes.com|mt-content|uploads|2019|05|j00a1764.jpg16993050204027946,1
MarkDObenshain,https://www.markobenshain.com/2022/02/25/obenshain-statement-on-passage-of-elder-abuse-prevention-bill/,html/Senate/MarkDObenshain/www.markobenshain.com|2022|02|25|obenshain-statement-on-passage-of-elder-abuse-prevention-bill|16993050209446998,2
CECliffHayesJr,https://cliffhayes.com/privacy-policy/,html/House/CECliffHayesJr/cliffhayes.com|privacy-policy|16993050212104473,1
MarkDObenshain,https://www.markobenshain.com/2022/02/03/obenshain-statement-on-failure-of-charter-school-bill-in-senate-committee-2/,html/Senate/MarkDObenshain/www.markobenshain.com|2022|02|03|obenshain-statement-on-failure-of-charter-school-bill-in-senate-committee-2|16993050216510997,2
TravisSNembhard,https://nembhardforvirginia.com/es/meet-travis/,html/House/TravisSNembhard/nembhardforvirginia.com|es|meet-travis|16993050217041004,2
AmyJLaufer,https://lauferfordelegate.com/author/dawson/,html/House/AmyJLaufer/lauferfordelegate.com|author|dawson|16993050217723436,2
TravisSNembhard,https://nembhardforvirginia.com/es/our-priorities/,html/House/TravisSNembhard/nembhardforvirginia.com|es|our-priorities|169930502227883,2
MarkDObenshain,https://www.markobenshain.com/2021/05/25/senator-obenshain-and-delegate-gilbert-announce-dmv-connect-program-in-strasburg/,html/Senate/MarkDObenshain/www.markobenshain.com|2021|05|25|senator-obenshain-and-delegate-gilbert-announce-dmv-connect-program-in-strasburg|1699305022372112,2
AmyJLaufer,https://lauferfordelegate.com/endorsements/fq2sgae-_400x400/,html/House/AmyJLaufer/lauferfordelegate.com|endorsements|fq2sgae-_400x400|16993050225058568,2
MarkDObenshain,https://www.markobenshain.com/2021/05/14/mask-mandate/,html/Senate/MarkDObenshain/www.markobenshain.com|2021|05|14|mask-mandate|1699305023032323,2
TravisSNembhard,https://nembhardforvirginia.com/es/vote/,html/House/TravisSNembhard/nembhardforvirginia.com|es|vote|16993050230643568,2
AmyJLaufer,https://lauferfordelegate.com/endorsements/scott-surovell-1/,html/House/AmyJLaufer/lauferfordelegate.com|endorsements|scott-surovell-1|1699305023192852,2
AngeliaWilliamsGraves,https://www.angeliawilliamsgraves.com/contact,html/Senate/AngeliaWilliamsGraves/www.angeliawilliamsgraves.com|contact16993050234528625,2
MarkDObenshain,https://www.markobenshain.com/2021/04/21/senator-obenshain-calls-on-governor-and-ncaa-to-relax-restrictions-for-college-football-games-in-the-commonwealth/,html/Senate/MarkDObenshain/www.markobenshain.com|2021|04|21|senator-obenshain-calls-on-governor-and-ncaa-to-relax-restrictions-for-college-football-games-in-the-commonwealth|1699305023905288,2
AmyJLaufer,https://lauferfordelegate.com/endorsements/favola-suit/,html/House/AmyJLaufer/lauferfordelegate.com|endorsements|favola-suit|1699305024073305,2
MarkDObenshain,https://www.markobenshain.com/2021/04/01/obenshain-says-governors-call-for-investigation-of-osigs-parole-board-inquiry-is-a-pure-partisan-whitewash/,html/Senate/MarkDObenshain/www.markobenshain.com|2021|04|01|obenshain-says-governors-call-for-investigation-of-osigs-parole-board-inquiry-is-a-pure-partisan-whitewash|16993050240921237,2
AngeliaWilliamsGraves,https://www.angeliawilliamsgraves.com/events,html/Senate/AngeliaWilliamsGraves/www.angeliawilliamsgraves.com|events16993050242818484,2
AmyJLaufer,https://lauferfordelegate.com/endorsements/jennifer_boysko/,html/House/AmyJLaufer/lauferfordelegate.com|endorsements|jennifer_boysko|16993050246077108,2
AngeliaWilliamsGraves,https://www.angeliawilliamsgraves.com/contribute?amount=21,html/Senate/AngeliaWilliamsGraves/www.angeliawilliamsgraves.com|contribute16993050246305041,2
JohnTStirrup,https://stirrupfordelegate.com/wp-content/uploads/sites/50/2023/04/John-Washington.jpg,html/House/JohnTStirrup/stirrupfordelegate.com|wp-content|uploads|sites|50|2023|04|John-Washington.jpg16993050249200704,2
MarkDObenshain,https://www.markobenshain.com/press/page/2/,html/Senate/MarkDObenshain/www.markobenshain.com|press|page|2|169930502496322,2
TravisSNembhard,https://nembhardforvirginia.com/es/endorsements/,html/House/TravisSNembhard/nembhardforvirginia.com|es|endorsements|16993050251600742,2
AmyJLaufer,https://lauferfordelegate.com/endorsements/attachment/1603208471901/,html/House/AmyJLaufer/lauferfordelegate.com|endorsements|attachment|1603208471901|16993050252151468,2
